method,case_id,category,fake_record,input_chars,input_bytes,salt_bytes,algorithm,cost_param,expected_observation,actual_observation,ok,correct,digest_obs_match,verifier_obs_match,salt_obs_match,cost_obs_match,comparison_obs_match,encoding_obs_match,api_boundary_obs_match,error_class,naive_should_fail,external_not_tested,elapsed_s,reason
preserve_original_secret_text_baseline,c01_unsalted_sha256,fast_hash_footgun,example_user,12,12,0,sha256,None,unsalted_fast_hash_footgun,preserved,True,True,,,,,,,,,True,False,1.2728851288557053e-06,
preserve_original_secret_text_baseline,c02_repeated_fast_hash,fast_hash_footgun,demo_account,12,12,0,sha256,,same_input_same_output,preserved,True,True,,,,,,,,,True,False,1.0330695658922195e-06,
preserve_original_secret_text_baseline,c03_pbkdf2_unique_salt,salt_policy,synthetic_password_case,12,12,16,pbkdf2_hmac,100000,unique_salt_different_output,preserved,True,True,,,,,,,,,False,False,5.809124559164047e-07,
preserve_original_secret_text_baseline,c04_pbkdf2_same_salt_diff_password,salt_policy,synthetic_password_case,12,12,16,pbkdf2_hmac,100000,different_password_different_output,preserved,True,True,,,,,,,,,False,False,5.341134965419769e-07,
preserve_original_secret_text_baseline,c05_pbkdf2_algorithm_metadata,verifier_format,sample_verifier,0,0,0,pbkdf2_hmac,,algorithm_stored,preserved,True,True,,,,,,,,,False,False,5.441252142190933e-07,
preserve_original_secret_text_baseline,c06_pbkdf2_iteration_metadata,verifier_format,sample_verifier,0,0,0,pbkdf2_hmac,100000,iterations_stored,preserved,True,True,,,,,,,,,False,False,4.6403147280216217e-07,
preserve_original_secret_text_baseline,c07_pbkdf2_salt_metadata,verifier_format,sample_verifier,0,0,16,,,salt_stored,preserved,True,True,,,,,,,,,False,False,4.5099295675754547e-07,
preserve_original_secret_text_baseline,c08_pbkdf2_digest_len_metadata,verifier_format,sample_verifier,0,0,0,pbkdf2_hmac,,digest_len_stored,preserved,True,True,,,,,,,,,False,False,4.2514875531196594e-07,
preserve_original_secret_text_baseline,c09_pbkdf2_verify_success,kdf_policy,fake_login_row,12,0,0,pbkdf2_hmac,100000,verify_success,preserved,True,True,,,,,,,,,False,False,4.370231181383133e-07,
preserve_original_secret_text_baseline,c10_pbkdf2_verify_wrong,kdf_policy,fake_login_row,12,0,0,pbkdf2_hmac,100000,verify_fail,preserved,True,True,,,,,,,,,False,False,4.270114004611969e-07,
preserve_original_secret_text_baseline,c11_pbkdf2_iteration_changes_output,kdf_policy,test_service,0,0,0,pbkdf2_hmac,200000,iterations_change_output,preserved,True,True,,,,,,,,,False,False,4.1583552956581116e-07,
preserve_original_secret_text_baseline,c12_pbkdf2_low_iteration_caveat,kdf_policy,test_service,0,0,0,pbkdf2_hmac,1000,low_iteration_caveat,preserved,True,True,,,,,,,,,False,False,4.440080374479294e-07,
preserve_original_secret_text_baseline,c13_pbkdf2_sha256_vs_sha512,kdf_policy,test_service,0,0,0,pbkdf2_hmac,,hash_name_matters,preserved,True,True,,,,,,,,,False,False,4.33996319770813e-07,
preserve_original_secret_text_baseline,c14_secrets_salt_generation,salt_policy,demo_account,0,0,16,,,,preserved,True,True,,,,,,,,,False,False,4.880130290985107e-07,
preserve_original_secret_text_baseline,c15_fixed_salt_negative,salt_policy,demo_account,0,0,16,,,,preserved,True,True,,,,,,,,,True,False,4.6193599700927734e-07,
preserve_original_secret_text_baseline,c16_short_salt_caveat,salt_policy,demo_account,0,0,4,,,,preserved,True,True,,,,,,,,,False,False,4.470348358154297e-07,
preserve_original_secret_text_baseline,c17_salt_uniqueness,salt_policy,synthetic_password_case,0,0,16,,,,preserved,True,True,,,,,,,,,False,False,4.270114004611969e-07,
preserve_original_secret_text_baseline,c18_scrypt_available,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_available_or_skip,preserved,True,True,,,,,,,,,False,False,4.291068762540817e-07,
preserve_original_secret_text_baseline,c19_scrypt_unavailable_skip,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_optional_skip,preserved,True,True,,,,,,,,,False,False,4.279427230358124e-07,
preserve_original_secret_text_baseline,c20_scrypt_parameters,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_n_r_p_metadata,preserved,True,True,,,,,,,,,False,False,4.5192427933216095e-07,
preserve_original_secret_text_baseline,c21_scrypt_memory_cost,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_memory_cost_caveat,preserved,True,True,,,,,,,,,False,False,4.2817555367946625e-07,
preserve_original_secret_text_baseline,c22_compare_digest_success,compare_policy,fake_login_row,0,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.109460860490799e-07,
preserve_original_secret_text_baseline,c23_compare_digest_failure,compare_policy,fake_login_row,0,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.470348358154297e-07,
preserve_original_secret_text_baseline,c24_equality_compare_caveat,compare_policy,fake_login_row,0,0,0,,,,preserved,True,True,,,,,,,,,True,False,4.3213367462158203e-07,
preserve_original_secret_text_baseline,c25_hex_vs_binary,verifier_format,sample_verifier,0,0,0,,,hex_vs_binary_caveat,preserved,True,True,,,,,,,,,False,False,4.1211023926734924e-07,
preserve_original_secret_text_baseline,c26_base64_verifier,verifier_format,sample_verifier,0,0,0,,,base64_encoding,preserved,True,True,,,,,,,,,False,False,4.1909515857696533e-07,
preserve_original_secret_text_baseline,c27_malformed_verifier,verifier_format,sample_verifier,0,0,0,,,malformed_verifier_parse_error,preserved,True,True,,,,,,,,,False,False,4.521571099758148e-07,
preserve_original_secret_text_baseline,c28_missing_algorithm,verifier_format,sample_verifier,0,0,0,,,missing_algorithm_metadata,preserved,True,True,,,,,,,,,False,False,4.980247467756271e-07,
preserve_original_secret_text_baseline,c29_missing_cost,verifier_format,sample_verifier,0,0,0,,,missing_cost_metadata,preserved,True,True,,,,,,,,,False,False,4.2491592466831207e-07,
preserve_original_secret_text_baseline,c30_missing_salt,verifier_format,sample_verifier,0,0,0,,,missing_salt_metadata,preserved,True,True,,,,,,,,,False,False,4.33996319770813e-07,
preserve_original_secret_text_baseline,c31_unicode_utf8,encoding_caveat,example_user,13,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.3795444071292877e-07,
preserve_original_secret_text_baseline,c32_bytes_str_boundary,encoding_caveat,example_user,0,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.239846020936966e-07,
preserve_original_secret_text_baseline,c33_normalization_not_applied,encoding_caveat,example_user,0,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.3190084397792816e-07,
preserve_original_secret_text_baseline,c34_nul_byte,encoding_caveat,example_user,0,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.1909515857696533e-07,
preserve_original_secret_text_baseline,c35_long_input_policy,input_length_caveat,toy_secret,0,200,0,,,,preserved,True,True,,,,,,,,,False,False,4.470348358154297e-07,
preserve_original_secret_text_baseline,c36_bcrypt_72byte_not_tested,bcrypt_not_tested,toy_secret,0,100,0,,,,preserved,True,True,,,,,,,,,False,True,4.2491592466831207e-07,
preserve_original_secret_text_baseline,c37_argon2_not_stdlib,argon2_not_tested,test_service,0,0,0,,,argon2_not_stdlib,preserved,True,True,,,,,,,,,False,True,4.1606836020946503e-07,
preserve_original_secret_text_baseline,c38_bcrypt_not_stdlib,bcrypt_not_tested,test_service,0,0,0,,,bcrypt_not_stdlib,preserved,True,True,,,,,,,,,False,True,4.2212195694446564e-07,
preserve_original_secret_text_baseline,c39_pepper_not_tested,production_truth_not_tested,demo_account,0,0,0,,,pepper_not_tested,preserved,True,True,,,,,,,,,False,True,4.300381988286972e-07,
preserve_original_secret_text_baseline,c40_password_cache_key_smell,cache_key_caveat,fake_login_row,0,0,0,,,password_cache_key_smell,preserved,True,True,,,,,,,,,True,False,4.230532795190811e-07,
preserve_original_secret_text_baseline,c41_hmac_domain_separation,hmac_caveat,test_service,0,0,0,,,hmac_domain_separation,preserved,True,True,,,,,,,,,False,False,4.440080374479294e-07,
preserve_original_secret_text_baseline,c42_hmac_key_not_salt,hmac_caveat,test_service,0,0,0,,,hmac_key_not_salt,preserved,True,True,,,,,,,,,False,False,4.2491592466831207e-07,
preserve_original_secret_text_baseline,c43_secrets_vs_random,secrets_policy,demo_account,0,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.2282044887542725e-07,
preserve_original_secret_text_baseline,c44_deterministic_salt_test,secrets_policy,demo_account,0,0,0,,,,preserved,True,True,,,,,,,,,False,False,4.309695214033127e-07,
preserve_original_secret_text_baseline,c45_timing_not_proof,production_truth_not_tested,test_service,0,0,0,,,,preserved,True,True,,,,,,,,,False,True,4.2887404561042786e-07,
preserve_original_secret_text_baseline,c46_password_strength_not_tested,production_truth_not_tested,example_user,0,0,0,,,password_strength_not_tested,preserved,True,True,,,,,,,,,False,True,4.209578037261963e-07,
preserve_original_secret_text_baseline,c47_breach_resistance_not_tested,production_truth_not_tested,example_user,0,0,0,,,breach_resistance_not_tested,preserved,True,True,,,,,,,,,False,True,4.3492764234542847e-07,
preserve_original_secret_text_baseline,c48_rate_limiting_not_tested,production_truth_not_tested,fictional_admin,0,0,0,,,rate_limiting_not_tested,preserved,True,True,,,,,,,,,False,True,4.3283216655254364e-07,
preserve_original_secret_text_baseline,c49_database_storage_not_tested,production_truth_not_tested,demo_account,0,0,0,,,database_storage_not_tested,preserved,True,True,,,,,,,,,False,True,4.4889748096466064e-07,
preserve_original_secret_text_baseline,c50_production_auth_not_tested,production_truth_not_tested,fictional_admin,0,0,0,,,production_auth_not_tested,preserved,True,True,,,,,,,,,False,True,4.209578037261963e-07,
sha256_fast_hash_footgun_observer,c01_unsalted_sha256,fast_hash_footgun,example_user,12,12,0,sha256,None,unsalted_fast_hash_footgun,unsalted_fast_hash_footgun,True,True,True,,,,,,,,True,False,2.818298526108265e-05,
sha256_fast_hash_footgun_observer,c02_repeated_fast_hash,fast_hash_footgun,demo_account,12,12,0,sha256,,same_input_same_output,unsalted_fast_hash_footgun,True,True,True,,,,,,,,True,False,4.939967766404152e-06,
sha256_fast_hash_footgun_observer,c03_pbkdf2_unique_salt,salt_policy,synthetic_password_case,12,12,16,pbkdf2_hmac,100000,unique_salt_different_output,,False,True,,,,,,,,,False,False,1.0719522833824158e-06,skip
sha256_fast_hash_footgun_observer,c04_pbkdf2_same_salt_diff_password,salt_policy,synthetic_password_case,12,12,16,pbkdf2_hmac,100000,different_password_different_output,,False,True,,,,,,,,,False,False,7.138587534427643e-07,skip
sha256_fast_hash_footgun_observer,c05_pbkdf2_algorithm_metadata,verifier_format,sample_verifier,0,0,0,pbkdf2_hmac,,algorithm_stored,,False,True,,,,,,,,,False,False,6.288755685091019e-07,skip
sha256_fast_hash_footgun_observer,c06_pbkdf2_iteration_metadata,verifier_format,sample_verifier,0,0,0,pbkdf2_hmac,100000,iterations_stored,,False,True,,,,,,,,,False,False,6.33997842669487e-07,skip
sha256_fast_hash_footgun_observer,c07_pbkdf2_salt_metadata,verifier_format,sample_verifier,0,0,16,,,salt_stored,,False,True,,,,,,,,,False,False,6.579793989658356e-07,skip
sha256_fast_hash_footgun_observer,c08_pbkdf2_digest_len_metadata,verifier_format,sample_verifier,0,0,0,pbkdf2_hmac,,digest_len_stored,,False,True,,,,,,,,,False,False,6.48200511932373e-07,skip
sha256_fast_hash_footgun_observer,c09_pbkdf2_verify_success,kdf_policy,fake_login_row,12,0,0,pbkdf2_hmac,100000,verify_success,,False,True,,,,,,,,,False,False,6.800983101129532e-07,skip
sha256_fast_hash_footgun_observer,c10_pbkdf2_verify_wrong,kdf_policy,fake_login_row,12,0,0,pbkdf2_hmac,100000,verify_fail,,False,True,,,,,,,,,False,False,6.810296326875687e-07,skip
sha256_fast_hash_footgun_observer,c11_pbkdf2_iteration_changes_output,kdf_policy,test_service,0,0,0,pbkdf2_hmac,200000,iterations_change_output,,False,True,,,,,,,,,False,False,7.371418178081512e-07,skip
sha256_fast_hash_footgun_observer,c12_pbkdf2_low_iteration_caveat,kdf_policy,test_service,0,0,0,pbkdf2_hmac,1000,low_iteration_caveat,,False,True,,,,,,,,,False,False,6.570480763912201e-07,skip
sha256_fast_hash_footgun_observer,c13_pbkdf2_sha256_vs_sha512,kdf_policy,test_service,0,0,0,pbkdf2_hmac,,hash_name_matters,,False,True,,,,,,,,,False,False,6.079208105802536e-07,skip
sha256_fast_hash_footgun_observer,c14_secrets_salt_generation,salt_policy,demo_account,0,0,16,,,,,False,True,,,,,,,,,False,False,6.551854312419891e-07,skip
sha256_fast_hash_footgun_observer,c15_fixed_salt_negative,salt_policy,demo_account,0,0,16,,,,,False,True,,,,,,,,,True,False,6.58910721540451e-07,skip
sha256_fast_hash_footgun_observer,c16_short_salt_caveat,salt_policy,demo_account,0,0,4,,,,,False,True,,,,,,,,,False,False,6.409827619791031e-07,skip
sha256_fast_hash_footgun_observer,c17_salt_uniqueness,salt_policy,synthetic_password_case,0,0,16,,,,,False,True,,,,,,,,,False,False,7.050111889839172e-07,skip
sha256_fast_hash_footgun_observer,c18_scrypt_available,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_available_or_skip,,False,True,,,,,,,,,False,False,6.931368261575699e-07,skip
sha256_fast_hash_footgun_observer,c19_scrypt_unavailable_skip,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_optional_skip,,False,True,,,,,,,,,False,False,5.990732461214066e-07,skip
sha256_fast_hash_footgun_observer,c20_scrypt_parameters,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_n_r_p_metadata,,False,True,,,,,,,,,False,False,6.048940122127533e-07,skip
sha256_fast_hash_footgun_observer,c21_scrypt_memory_cost,kdf_policy,sample_verifier,0,0,0,scrypt,,scrypt_memory_cost_caveat,,False,True,,,,,,,,,False,False,6.461050361394882e-07,skip
sha256_fast_hash_footgun_observer,c22_compare_digest_success,compare_policy,fake_login_row,0,0,0,,,,,False,True,,,,,,,,,False,False,6.121117621660233e-07,skip
